car_ID,CarName,ownername,owneremail,dealershipaddress,saledate,iban,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,color,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,compressionratio,horsepower,peakrpm,citympg,highwaympg,Price
1,toyota corolla,Matthew Hernandez,matthew.hernandez@gmail.com,"96559 Moore Street
Penningtonchester, NJ 99785",2016-11-23,GB84TJXJ3114**********,diesel,std,four,hatchback,fwd,front,95.7,yellow,166.3,64.4,52.8,2275,4.0,110,22.5,56.0,4500,38,47,7788.0
2,toyota carina,Megan Sanchez,megan.sanchez@gmail.com,"18399 House Village Apt. 697
Lake Amberburgh, RI 58039",2020-08-11,GB13IBBH0818**********,gas,std,four,wagon,4wd,front,95.7,purple,169.7,63.6,59.1,3110,4.0,92,9.0,62.0,4800,27,32,8778.0
3,toyota corolla,Sarah Lawrence,sarahlawrence@gmail.com,"79775 Anne Way
East Ashley, GU 04171",2018-06-26,GB07IVPZ1581**********,gas,std,two,hatchback,rwd,front,98.4,navy,176.2,65.6,52.0,2714,4.0,146,9.3,116.0,4800,24,30,11549.0
4,toyota corona,Debra Juarez,debra.juarez@hotmail.com,"540 Allen Lane
Lake Randy, ME 90623",2018-07-24,GB69IASI9434**********,gas,std,two,hatchback,rwd,front,102.9,fuchsia,183.5,67.7,52.0,3016,6.0,171,9.3,161.0,5200,19,24,15998.0
5,nissan otti,Michael Harvey,michaelharvey@gmail.com,"5519 Krause Station Apt. 935
West Frederickhaven, FL 29600",2022-02-10,GB33TRRF7833**********,gas,std,four,sedan,fwd,front,100.4,yellow,184.6,66.5,55.1,3060,6.0,181,9.0,152.0,5200,19,25,13499.0
6,nissan gt-r,Cody Murray,cody.murray@yahoo.com,"074 Jones Rue
Paigebury, PR 27118",2016-02-17,GB93CYKM8701**********,diesel,std,two,sedan,fwd,front,94.5,aqua,165.3,63.8,54.5,2017,4.0,103,21.9,55.0,4800,45,50,7099.0
7,buick opel isuzu deluxe,Stacy Mcgee,stacymcgee@gmail.com,"77966 Phillips Branch
Mitchellburgh, NH 50697",2016-09-25,GB85FTHO9933**********,gas,std,four,sedan,rwd,front,115.6,green,202.6,71.7,56.5,3740,8.0,234,8.3,155.0,4750,16,18,34184.0
8,audi 5000s (diesel),Charlotte Ford,charlotte.ford@hotmail.com,"00257 Denise Expressway
Joseshire, WY 62443",2020-04-26,GB49XQGP9851**********,gas,turbo,two,hatchback,4wd,front,99.5,fuchsia,178.2,67.9,52.0,3053,5.0,131,7.0,160.0,5500,16,22,17859.167
9,saab 99le,Kevin Anderson,kevin.anderson@gmail.com,"259 Kenneth Road Apt. 074
Ambertown, NM 30954",2021-11-20,GB27JKWQ7285**********,gas,std,two,hatchback,fwd,front,99.1,teal,186.6,66.5,56.1,2707,4.0,121,9.3,110.0,5250,21,28,15040.0
10,bmw x4,Danielle Hardin,danielle.hardin@hotmail.com,"308 Craig Isle
Shannonchester, MT 59565",2016-05-25,GB95KQPD7151**********,gas,std,four,sedan,rwd,front,103.5,yellow,189.0,66.9,55.7,3230,6.0,209,8.0,182.0,5400,16,22,30760.0
11,mazda 626,Yolanda Rodriguez,yolanda.rodriguez@hotmail.com,"359 Michael Expressway
Krausechester, PW 77508",2019-03-20,GB91ZQME5837**********,gas,std,two,hatchback,fwd,front,98.8,fuchsia,177.8,66.5,53.7,2385,4.0,122,8.6,84.0,4800,26,32,8845.0
12,maxda glc deluxe,Chelsea Montgomery,chelseamontgomery@yahoo.com,"819 Patricia Lights Apt. 816
Stevenland, CA 21456",2015-07-11,GB86NCCH2404**********,gas,std,two,hatchback,fwd,front,93.1,olive,159.1,64.2,54.1,1900,4.0,91,9.0,68.0,5000,31,38,6095.0
13,mitsubishi outlander,Timothy Wright,timothy.wright@yahoo.com,"1571 Peck Rest
Silvamouth, MP 91276",2017-06-08,GB58VVRK9300**********,gas,std,two,hatchback,fwd,front,93.7,black,157.3,64.4,50.8,2004,4.0,92,9.4,68.0,5500,31,38,6669.0
